name,poi_id,osm_way_id,building,amenity,area,geometry,centroid
 BNSF 19th Street Yard,0,100242175,railway,,1.5222177529996794e-05,"POLYGON ((-94.6022082 39.0909236, -94.6024039 39.0904658, -94.6028309 39.0894219, -94.6030022 39.0890271, -94.6031589 39.0886617, -94.6032742 39.088443, -94.6033841 39.0882564, -94.603543 39.0880267, -94.6037007 39.0878063, -94.6040877 39.087276, -94.6040333 39.0872365, -94.6037308 39.0876191, -94.6034213 39.0879784, -94.6031928 39.0882181, -94.602982 39.0884091, -94.6026312 39.0886825, -94.6021797 39.0890329, -94.6020151 39.0891807, -94.6018587 39.0893433, -94.6016561 39.0895871, -94.6014774 39.0898171, -94.6012944 39.0900526, -94.601055 39.0903513, -94.6008619 39.0906247, -94.6005967 39.0910342, -94.6001031 39.0918839, -94.5995441 39.0928686, -94.5991185 39.0936222, -94.5985391 39.0945468, -94.59821 39.0951083, -94.5979584 39.0956128, -94.5975015 39.0965901, -94.5969779 39.097692, -94.5965033 39.0987432, -94.5963252 39.0991706, -94.5961497 39.0996613, -94.5959758 39.1002605, -94.5976756 39.1003002, -94.5976984 39.0981372, -94.5977489 39.0977635, -94.5979507 39.0972521, -94.5981446 39.0968831, -94.6003173 39.0942816, -94.6006891 39.0936715, -94.6016057 39.0919052, -94.6019362 39.0913785, -94.6022082 39.0909236))",POINT (-94.5995497 39.0942782)
 KCT Kemper Yard,1,100242196,railway,,4.610779074995959e-06,"POLYGON ((-94.6028175 39.0909196, -94.6027426 39.0912558, -94.602736 39.0914371, -94.6024519 39.0914346, -94.6019626 39.0926164, -94.6013252 39.0941762, -94.6011936 39.0944707, -94.6011936 39.0945295, -94.601164 39.094601, -94.6010565 39.0947943, -94.6009775 39.0949509, -94.6009194 39.095094, -94.6008349 39.095386, -94.6007735 39.0956116, -94.6007515 39.0957461, -94.6007351 39.0959632, -94.6006967 39.0966179, -94.600633 39.0979188, -94.6006001 39.0986518, -94.5996359 39.0983536, -94.5992376 39.0993167, -94.5992047 39.0993908, -94.5988164 39.0999885, -94.5986595 39.0999306, -94.5987716 39.0996785, -94.5989722 39.0992784, -94.5990374 39.099141, -94.5990687 39.099075, -94.5992278 39.0987038, -94.5996885 39.0975894, -94.5997122 39.0975316, -94.6002787 39.0961522, -94.6008217 39.0948445, -94.6014229 39.0933971, -94.6021063 39.0917437, -94.6030292 39.0895137, -94.6031457 39.0892596, -94.6032623 39.0890507, -94.6035203 39.0886446, -94.6038052 39.0882388, -94.6038909 39.0882721, -94.6038717 39.0883635, -94.6033883 39.0895355, -94.6028175 39.0909196))",POINT (-94.6010442 39.0950312)
 BNSF 19th Street Yard,2,100242206,railway,,7.723919145046108e-06,"POLYGON ((-94.5977489 39.0977635, -94.5976984 39.0981372, -94.5976756 39.1003002, -94.5981948 39.1003217, -94.5983264 39.1000921, -94.5985414 39.0996625, -94.5987433 39.0992176, -94.5988703 39.0989447, -94.5994718 39.0974791, -94.5996325 39.0970875, -94.6003192 39.0954125, -94.6007993 39.0942442, -94.6022082 39.0909236, -94.6019362 39.0913785, -94.6016057 39.0919052, -94.6006891 39.0936715, -94.6003173 39.0942816, -94.5981446 39.0968831, -94.5979507 39.0972521, -94.5977489 39.0977635))",POINT (-94.5991225 39.0969156)
 KCT Mill Street Yard,3,100400839,railway,,1.8368125599850024e-06,"POLYGON ((-94.6354073 39.0771379, -94.6354044 39.0770281, -94.6350399 39.0769816, -94.6346457 39.0769408, -94.6342049 39.0769256, -94.6334618 39.0769268, -94.6307321 39.0769582, -94.6304906 39.076961, -94.6298151 39.0769688, -94.6293611 39.0769964, -94.6287029 39.0770779, -94.628243 39.077169, -94.6275531 39.077392, -94.6269389 39.0775752, -94.6269845 39.077721, -94.6277685 39.0775205, -94.628268 39.0774056, -94.6288312 39.0773094, -94.6293379 39.077244, -94.6298831 39.077201, -94.6304536 39.077186, -94.6312166 39.0771767, -94.6330676 39.077158, -94.634578 39.077143, -94.6354073 39.0771379))",POINT (-94.6311114 39.0771335)
 KCT Mill Street Yard,4,100400849,railway,,1.713886576502322e-05,"POLYGON ((-94.6398217 39.0789162, -94.6398071 39.0789631, -94.6397617 39.0789844, -94.6370595 39.0789995, -94.6350654 39.0790054, -94.6339808 39.0790029, -94.6333894 39.0790016, -94.632857 39.0790011, -94.6327389 39.079001, -94.6319378 39.0790002, -94.6319368 39.0786746, -94.6316852 39.0786634, -94.6313297 39.0786575, -94.6305636 39.0786682, -94.6291267 39.0786883, -94.6283995 39.0787043, -94.6257643 39.0787593, -94.6257535 39.0783957, -94.626565 39.0783817, -94.6270076 39.0779474, -94.6269845 39.077721, -94.6277685 39.0775205, -94.628268 39.0774056, -94.6288312 39.0773094, -94.6293379 39.077244, -94.6293471 39.0780644, -94.6302946 39.077907, -94.6305707 39.0778804, -94.6329071 39.0778142, -94.6333119 39.0777903, -94.6337328 39.0777581, -94.6349594 39.0776116, -94.635233 39.0775924, -94.6355126 39.0775797, -94.635516 39.0775316, -94.6358929 39.0775166, -94.6363843 39.0774627, -94.6379 39.0772576, -94.6380467 39.077251, -94.6397226 39.0772251, -94.6397886 39.0772665, -94.6398065 39.0773204, -94.6398217 39.0789162))",POINT (-94.6338898 39.0782257)
 KCT Blue River Yard,5,100400862,railway,,4.558506440003447e-06,"POLYGON ((-94.4960141 39.1114182, -94.4953716 39.1115776, -94.4940998 39.1119304, -94.4934661 39.1121205, -94.4896302 39.1131368, -94.4869839 39.1138596, -94.4864162 39.1140053, -94.4858441 39.1141339, -94.4854906 39.1141965, -94.4847043 39.1142989, -94.4840046 39.1143467, -94.4839958 39.1140519, -94.4847527 39.1140622, -94.484987 39.1140439, -94.485162 39.1140303, -94.4860055 39.1138437, -94.4878655 39.1133167, -94.4883686 39.1131471, -94.489127 39.1128398, -94.4895304 39.1127089, -94.4904194 39.1124414, -94.4911851 39.1122149, -94.4928398 39.1117528, -94.4935204 39.1115912, -94.494179 39.1114557, -94.4949492 39.1113601, -94.4956401 39.111285, -94.495775 39.1112611, -94.4959203 39.1112304, -94.4959366 39.1112629, -94.4959551 39.1113, -94.4960141 39.1114182))",POINT (-94.4905111 39.1126822)
 Bedford Yard,6,100409308,railway,,1.909121479989906e-06,"POLYGON ((-94.5783574 39.1228864, -94.5777723 39.1231544, -94.5769733 39.1235062, -94.5765221 39.1237414, -94.5759582 39.1241425, -94.5754294 39.12458, -94.5748937 39.125116, -94.5740218 39.1259837, -94.5731797 39.1267959, -94.5736204 39.1268053, -94.5747559 39.1256736, -94.5754627 39.1249876, -94.5756943 39.1247764, -94.5759996 39.1245267, -94.5762824 39.1243202, -94.5765967 39.1241102, -94.576908 39.1239223, -94.5778374 39.1234043, -94.5780691 39.1232515, -94.5782676 39.1231103, -94.5784541 39.1229889, -94.5783574 39.1228864))",POINT (-94.5756845 39.1247515)
 UP Armstrong Yard,7,100545337,railway,,3.507804920502885e-05,"POLYGON ((-94.6375139 39.0918705, -94.6350808 39.0915314, -94.635102 39.0914303, -94.6332913 39.0911201, -94.6305154 39.0906529, -94.6301951 39.0906015, -94.6297739 39.0905355, -94.6294091 39.0904871, -94.6289307 39.0904373, -94.6284574 39.0904003, -94.6280112 39.0903851, -94.627551 39.0903795, -94.6252621 39.0904177, -94.6245721 39.090436, -94.6240277 39.090451, -94.6235734 39.0904876, -94.6230483 39.0905691, -94.6223668 39.0907155, -94.6213187 39.0910303, -94.6204472 39.0913902, -94.6200235 39.0915652, -94.6172844 39.0927292, -94.6168868 39.0929644, -94.6165992 39.0932266, -94.6158136 39.0939981, -94.6156399 39.0942378, -94.6153059 39.0948356, -94.6142423 39.0967486, -94.6141331 39.0968845, -94.6140233 39.0969988, -94.6139482 39.0970687, -94.6139907 39.0971093, -94.6143693 39.0969367, -94.6153781 39.0963615, -94.6159494 39.0960909, -94.6160487 39.0962095, -94.6191085 39.0948873, -94.6216608 39.0938068, -94.6253274 39.0922746, -94.6263762 39.0918508, -94.6269988 39.0916399, -94.6276795 39.0914635, -94.6282812 39.0913436, -94.6289903 39.0912362, -94.6295734 39.0911835, -94.6301182 39.0911643, -94.6305876 39.0911701, -94.6312152 39.091195, -94.6319317 39.0912516, -94.6326198 39.0913187, -94.6333351 39.0914059, -94.6350276 39.0916235, -94.6357315 39.091714, -94.637497 39.0919442, -94.6375139 39.0918705))",POINT (-94.6218262 39.0927338)
 UP 18th Street Yard,8,100545340,railway,,3.6365952309997544e-05,"POLYGON ((-94.6706074 39.0984548, -94.6706878 39.0981885, -94.6708578 39.0982069, -94.6712524 39.0983229, -94.6730093 39.099069, -94.6736385 39.0993313, -94.6743093 39.099611, -94.6745014 39.0996911, -94.6757317 39.1002485, -94.6761878 39.100457, -94.677028 39.100841, -94.6772485 39.1009418, -94.6785974 39.1015647, -94.6789032 39.1016922, -94.6798442 39.1020845, -94.6802811 39.1022412, -94.6810306 39.1024484, -94.6810932 39.1023371, -94.6804527 39.1021183, -94.6798517 39.10189, -94.6789977 39.1015452, -94.677959 39.1010775, -94.6765717 39.1004474, -94.6751826 39.0998179, -94.6737672 39.0991756, -94.6723568 39.0985346, -94.6709958 39.0979076, -94.6697172 39.0973312, -94.6683587 39.0967145, -94.6678806 39.0965008, -94.6675937 39.0963805, -94.6672203 39.0962353, -94.6669582 39.0961393, -94.6666564 39.096037, -94.6663143 39.0959391, -94.6658494 39.0958227, -94.6652872 39.0957062, -94.6647398 39.095616, -94.6642733 39.0955533, -94.6627507 39.095348, -94.6605629 39.0950581, -94.6582531 39.094753, -94.6560521 39.0944631, -94.6528503 39.0940422, -94.6501031 39.0936785, -94.6488387 39.0935105, -94.647408 39.0933173, -94.6460274 39.0931446, -94.6447833 39.0929748, -94.644729 39.0932525, -94.6461769 39.0935342, -94.6474969 39.0938269, -94.6482089 39.0939997, -94.6487622 39.0941028, -94.6492393 39.0941988, -94.6497391 39.0943204, -94.6504841 39.0945379, -94.6515176 39.0948546, -94.6521627 39.0950497, -94.6525769 39.0951561, -94.6536104 39.0954088, -94.6549201 39.0957119, -94.656372 39.0960693, -94.658235 39.096462, -94.6587255 39.0965428, -94.6590418 39.0965628, -94.6594282 39.0966139, -94.6599455 39.0967131, -94.6617601 39.0970898, -94.6636726 39.0974736, -94.6647927 39.0976999, -94.6651533 39.0977735, -94.66548 39.0978119, -94.6660096 39.0978615, -94.6668814 39.0979302, -94.668123 39.0980334, -94.6690927 39.098115, -94.66921 39.0981319, -94.669509 39.0981749, -94.6699438 39.0982781, -94.6706074 39.0984548))",POINT (-94.6607811 39.0960893)
 Armourdale Yard,9,100547288,railway,,6.544930017998658e-05,"POLYGON ((-94.6417945 39.0924502, -94.641972 39.0924742, -94.6457111 39.0929678, -94.6483313 39.0933188, -94.6521289 39.0938183, -94.6553878 39.0942325, -94.6596622 39.0948145, -94.6630669 39.0952641, -94.6649274 39.0955163, -94.6658725 39.0956898, -94.6664827 39.095848, -94.6671622 39.0960753, -94.6679936 39.0964137, -94.6698689 39.0972526, -94.6719308 39.0982162, -94.6742211 39.0992535, -94.674379 39.0990469, -94.672794 39.0982694, -94.6721936 39.0980125, -94.6712844 39.0976069, -94.6704011 39.0972129, -94.6702059 39.0971017, -94.669057 39.0963836, -94.6682021 39.0958764, -94.6680341 39.0958045, -94.6671965 39.0955092, -94.666459 39.0953193, -94.6658759 39.0951736, -94.6655053 39.0950672, -94.6650334 39.0949013, -94.6648172 39.0948093, -94.6646072 39.0946885, -94.663688 39.0940576, -94.6629839 39.0935945, -94.6627022 39.0934497, -94.6624181 39.0933423, -94.6622365 39.0933001, -94.6619276 39.0932685, -94.6610814 39.0931726, -94.6604819 39.0930724, -94.6596458 39.0929558, -94.6594175 39.0929021, -94.6591704 39.0928101, -94.6589431 39.0926958, -94.6583442 39.0923329, -94.6581179 39.0922424, -94.6577848 39.0921558, -94.6574182 39.0921005, -94.6570693 39.0920806, -94.6565949 39.0920929, -94.6560108 39.0921558, -94.6541506 39.0924062, -94.6520925 39.0924273, -94.6513969 39.0923927, -94.649791 39.0921952, -94.646369 39.0916036, -94.6453133 39.0912812, -94.6424469 39.0903823, -94.6417153 39.0900841, -94.6409779 39.0897141, -94.6405591 39.0894534, -94.6402792 39.089368, -94.6400453 39.0892887, -94.6385824 39.0893245, -94.6385882 39.0903957, -94.6375517 39.0905231, -94.6372274 39.0905276, -94.6366483 39.0904467, -94.6359946 39.0903597, -94.6354567 39.0903447, -94.6343835 39.0901949, -94.6337457 39.0901062, -94.6319066 39.0898101, -94.6301307 39.0895081, -94.6295779 39.0894506, -94.6286452 39.089411, -94.628151 39.089405, -94.6277634 39.0894182, -94.627348 39.0894697, -94.6264447 39.0895776, -94.6261034 39.089598, -94.6242241 39.0896064, -94.6230396 39.08961, -94.6226845 39.0896328, -94.6205195 39.0898904, -94.6199265 39.0899336, -94.6195142 39.089954, -94.6195173 39.0900726, -94.6213231 39.0900722, -94.6241412 39.0900503, -94.6247948 39.0900774, -94.6255235 39.0901189, -94.6259253 39.0901293, -94.627672 39.0901148, -94.6284194 39.0901668, -94.62944 39.0902707, -94.6328732 39.0908737, -94.6339863 39.0909903, -94.6352496 39.0911506, -94.635947 39.0912276, -94.6371835 39.0914046, -94.6371057 39.091644, -94.6376321 39.0917449, -94.6393487 39.0920306, -94.6405195 39.0922442, -94.6417945 39.0924502))",POINT (-94.6480944 39.0924524)
,10,222549710,platform,,2.6317928001076345e-07,"POLYGON ((-94.5831965 39.0868896, -94.5831826 39.0868578, -94.5879114 39.0856493, -94.5879239 39.0856841, -94.5877268 39.0857497, -94.5875028 39.0858101, -94.5834889 39.0868365, -94.583387 39.0868594, -94.5832765 39.0868797, -94.5831965 39.0868896))",POINT (-94.5855493 39.0862809)
 Union Pacific State Line Yard,11,284173699,railway,,3.4932635450097213e-06,"POLYGON ((-94.6071915 39.1005092, -94.6065272 39.1007915, -94.6062702 39.1008069, -94.6058234 39.1009664, -94.6032531 39.1020497, -94.602652 39.1022461, -94.6019126 39.1024302, -94.601751 39.1024811, -94.6017233 39.1024477, -94.6023573 39.1021735, -94.6054884 39.1008661, -94.6089115 39.0994322, -94.6094781 39.0992068, -94.609843 39.0992571, -94.6102439 39.0998626, -94.6099006 39.0999725, -94.609951 39.1000582, -94.6085442 39.1004662, -94.6083474 39.1004979, -94.6081361 39.1004886, -94.6075816 39.1004588, -94.6071915 39.1005092))",POINT (-94.6073227 39.1004284)
 Adams Street,12,295166046,railway,,1.415968289994964e-06,"POLYGON ((-94.6154894 39.0845675, -94.6158962 39.0842117, -94.6167823 39.0834198, -94.616616 39.0833157, -94.6153096 39.0844125, -94.615116 39.084575, -94.6147382 39.0848101, -94.6144809 39.0849643, -94.6142464 39.0850704, -94.6139924 39.0851387, -94.6139012 39.0851564, -94.6137156 39.0851943, -94.613455 39.0852019, -94.6133117 39.0852044, -94.6131199 39.0851984, -94.6129226 39.0851832, -94.6127454 39.0851537, -94.6125713 39.0851187, -94.6123985 39.0850698, -94.612252 39.0850167, -94.6120482 39.0849147, -94.6119745 39.085013, -94.6121704 39.0851183, -94.6123865 39.0851975, -94.6125713 39.0852478, -94.6127238 39.0852804, -94.6128851 39.085304, -94.6130683 39.0853232, -94.6132638 39.0853331, -94.6137644 39.0853308, -94.6139275 39.0853387, -94.6140681 39.0853642, -94.6142062 39.085408, -94.6143262 39.0854648, -94.6144549 39.0855406, -94.6145982 39.0856544, -94.6147154 39.0857757, -94.6147805 39.0858541, -94.6148554 39.0859957, -94.6149955 39.0860083, -94.6149466 39.0857757, -94.6149141 39.0856544, -94.6148782 39.0855229, -94.614888 39.0854269, -94.6149108 39.0853081, -94.6149694 39.0851387, -94.6150313 39.0850174, -94.6151323 39.0849036, -94.6153146 39.0847368, -94.6154894 39.0845675))",POINT (-94.6147356 39.0848642)
,13,296921264,platform,,3.990133499765318e-08,"POLYGON ((-94.4302533 39.0869535, -94.4299842 39.086864, -94.429971 39.0868846, -94.429914 39.0868657, -94.4299203 39.0868542, -94.4296781 39.0867736, -94.4296705 39.0867873, -94.4295856 39.0867591, -94.4295989 39.0867331, -94.4295704 39.0867234, -94.4295484 39.0867159, -94.4293011 39.0866358, -94.4293006 39.0866355, -94.4292877 39.0866291, -94.4293026 39.0866022, -94.4302697 39.0869237, -94.4302533 39.0869535))",POINT (-94.429783 39.0867838)
,14,298247989,platform,,1.3319630499454626e-07,"POLYGON ((-94.5874004 39.0859199, -94.5875423 39.0858765, -94.5875418 39.0858496, -94.5852201 39.0864326, -94.5844049 39.086647, -94.5844315 39.0866847, -94.5874004 39.0859199))",POINT (-94.5858879 39.0862878)
 BNSF 10th Street Yard,15,309147483,railway,,2.1483331205003525e-05,"POLYGON ((-94.5806649 39.1228767, -94.5806304 39.1227503, -94.5784362 39.1234913, -94.5780808 39.1236177, -94.577681 39.1237651, -94.5773774 39.1239011, -94.577101 39.124037, -94.5766986 39.1242648, -94.5764889 39.1244123, -94.5761655 39.1246497, -94.5758743 39.1248833, -94.5755559 39.1251782, -94.5743391 39.1263806, -94.5736011 39.1271101, -94.5731631 39.1275307, -94.5706834 39.1299673, -94.5700523 39.1305951, -94.5686287 39.131997, -94.55635 39.1441209, -94.556477 39.1441695, -94.5574123 39.1432217, -94.5578572 39.1428116, -94.5588138 39.1422593, -94.5593313 39.1417967, -94.5607642 39.1403824, -94.5612247 39.1399432, -94.5624546 39.1399687, -94.5626063 39.1398286, -94.5648548 39.1375883, -94.5663675 39.137619, -94.5664169 39.1355302, -94.5664398 39.1353188, -94.5665841 39.1350382, -94.5667866 39.134804, -94.5685937 39.1329131, -94.5692379 39.1324003, -94.5696122 39.1320157, -94.5699302 39.1316721, -94.5700487 39.131467, -94.5703635 39.1309716, -94.5706004 39.1306069, -94.5710428 39.1299879, -94.5712364 39.1300179, -94.5713741 39.1294977, -94.5720128 39.1288499, -94.5734924 39.127483, -94.5736949 39.1271618, -94.5740923 39.1268325, -94.5746476 39.1268191, -94.5748008 39.1267719, -94.575588 39.126034, -94.5759779 39.1256722, -94.5762223 39.1254826, -94.5764716 39.1252586, -94.5768665 39.1249829, -94.5770911 39.1248297, -94.5772861 39.1247091, -94.5776193 39.1245176, -94.5780734 39.1243108, -94.5784856 39.1241346, -94.5788509 39.1239547, -94.5791939 39.1238379, -94.5795962 39.1236234, -94.5799887 39.1234645, -94.580428 39.1231945, -94.5806649 39.1228767))",POINT (-94.567531 39.1339167)
